total_amount,avg_review,diff_first_today,diff_first_last,recency,frequency,customer_city,customer_state
36.78,4.0,1193,0,4.829667960327727,1,3328,25
206.44,3.6666666666666665,1226,124,1.8398735086962772,3,3328,25
44.09,4.0,1156,0,3.6140372492248303,1,413,10
167.29,5.0,1324,0,9.133657775313662,1,1268,17
116.43,2.0,1435,0,12.780549908622353,1,83,17
104.19,4.0,1340,0,9.659335920655455,1,3479,14
94.3,5.0,1384,0,11.104950820345387,1,3114,22
107.24,3.0,1048,0,0.06570976816772418,1,2868,18
185.0,5.0,1319,0,8.969383354894351,4,3128,25
115.9,5.0,1378,0,10.907821515842214,1,1323,15
64.62,5.0,1286,0,7.885172180126902,1,2647,25
237.82,5.0,1299,0,8.31228567321711,4,3360,25
175.56,2.0,1140,0,3.0883591038830365,1,580,7
140.08,5.0,1245,0,6.538121932688556,1,1128,25
66.69,4.0,1321,0,9.035093123062076,1,3697,4
206.32999999999998,5.0,1193,11,4.468264235405244,2,413,10
92.68,3.0,1448,0,13.20766340171256,1,2740,22
221.09,5.0,1113,0,2.20127723361876,1,2761,20
489.85,5.0,1193,0,4.829667960327727,1,2315,18
97.71,1.0,1190,0,4.7311033080761415,1,3380,25
46.75,5.0,1260,0,7.030945193946487,1,1382,25
222.8,3.0,1297,115,4.468264235405244,2,413,10
1517.7,5.0,1191,0,4.763958192160003,1,3328,25
41.84,5.0,1281,0,7.720897759707592,1,3328,25
157.74,1.0,1086,0,1.3141953633544836,1,413,10
1338.41,4.0,1272,0,7.425203802952833,1,3328,25
166.59,5.0,1145,0,3.252633524302347,1,1051,17
165.46,1.0,1210,0,5.388200989753383,1,2380,15
71.04,5.0,1142,0,3.1540688720507606,1,1690,25
32.62,5.0,1483,0,14.357584344647734,1,3328,25
44.78,4.0,1175,0,4.23828004681821,1,1988,4
126.68,5.0,1065,0,0.6242427975933798,1,3206,22
76.95,1.0,1219,0,5.683894946508142,1,206,25
49.0,1.0,1360,0,10.316433602332697,1,1332,8
346.06,5.0,1343,0,9.757900572907042,1,1051,17
37.85,3.0,1217,0,5.6181851783404175,1,649,25
456.45000000000005,1.0,1104,0,1.9055832768640013,3,2848,18
298.84,1.0,1388,0,11.236370356680835,1,3127,25
367.2,3.0,1259,0,6.998090309862626,1,236,25
38.42,5.0,1429,0,12.583420604119182,1,1739,25
213.74,5.0,1096,0,1.6427442041931046,1,1952,17
96.22,5.0,1193,0,4.829667960327727,1,2740,22
38.71,5.0,1105,0,1.9384381609478634,1,2106,25
117.65,5.0,1102,0,1.8398735086962772,1,1672,25
315.12,5.0,1439,39,11.63062896568718,2,3227,25
131.89,5.0,1165,43,2.496971190373519,2,1551,10
80.2,5.0,1371,0,10.67783732725518,1,2911,25
122.5,1.0,1111,0,2.135567465451036,1,1838,10
63.1,1.0,1154,0,3.5483274810571057,1,2917,18
107.28,2.5,1226,122,1.9055832768640013,2,3328,25
227.23,5.0,1152,0,3.4826177128893816,1,3657,10
154.12,4.5,1400,0,11.63062896568718,4,2855,15
359.54,5.0,1273,0,7.4580586870366945,1,2917,18
70.0,3.0,1392,0,11.367789893016283,1,2917,18
552.24,5.0,1075,0,0.9527916384320007,1,3565,22
88.72,5.0,1387,0,11.203515472596973,1,11,15
49.42,5.0,1447,0,13.1748085176287,1,1398,17
163.85,5.0,1242,35,5.289636337501797,2,3004,4
148.22,5.0,1244,0,6.505267048604694,1,202,24
1432.21,5.0,1210,25,4.566828887656831,2,1349,10
210.0,5.0,1278,0,7.622333107456005,1,1051,17
377.25,4.0,1247,0,6.60383170085628,1,3655,25
75.16,5.0,1193,0,4.829667960327727,1,3477,25
77.57,4.0,1304,0,8.47656009363642,1,1828,23
131.81,5.0,1382,0,11.039241052177664,1,632,10
31.78,5.0,1180,0,4.40255446723752,1,3328,25
22.78,5.0,1187,0,4.632538655824555,1,1536,25
143.49,3.0,1326,0,9.199367543481385,1,3328,25
446.46000000000004,4.5,1377,0,10.874966631758353,4,1980,18
301.65,4.0,1153,0,3.5154725969732437,1,435,25
442.19,5.0,1364,262,1.8398735086962772,2,413,10
114.77000000000001,5.0,1409,0,11.926322922441939,1,2917,18
170.71,4.0,1130,0,2.759810263044416,1,3779,7
30.95,3.0,1483,0,14.357584344647734,1,3494,25
77.57,5.0,1241,0,6.406702396353108,1,233,23
130.95,5.0,1257,0,6.932380541694902,1,2917,18
227.85,4.0,1334,207,2.6612456107928293,2,3347,25
193.82999999999998,5.0,1249,0,6.669541469024004,2,2740,22
79.33,5.0,1089,0,1.41276001560607,1,3328,25
180.91,5.0,1047,0,0.03285488408386209,1,1990,1
160.4,4.0,1231,0,6.078153555514487,1,2917,18
31.84,4.0,1291,0,8.049446600546213,1,2413,25
164.45,5.0,1447,0,13.1748085176287,1,3527,25
36.69,3.0,1201,0,5.092507032998625,1,3145,10
99.2,5.0,1220,0,5.716749830592004,1,3328,25
81.76,5.0,1223,0,5.81531448284359,1,465,4
40.51,4.0,1484,0,14.390439228731596,1,1051,17
292.26,4.0,1110,0,2.102712581367174,1,3004,4
299.34,4.0,1444,0,13.076243865377112,1,2917,18
192.47,4.0,1145,0,3.252633524302347,1,649,25
169.65,5.0,1076,0,0.9856465225158627,2,438,23
161.24,5.0,1114,0,2.234132117702622,1,508,6
234.99,3.0,1055,1,0.26283907267089673,2,531,4
325.12,5.0,1382,0,11.039241052177664,1,1051,17
108.08,5.0,1213,0,5.486765642004969,1,2069,17
