total_amount,avg_review,diff_first_today,diff_first_last,recency,frequency,customer_city,customer_state,purchased
257.87,3.0,1225,0,5.749604714675866,1,2917,18,0
52.38,2.0,1219,0,5.552475410172693,1,3328,25,0
217.74,1.0,1102,0,1.7084539723608287,1,2024,18,0
218.66,3.0,1244,0,6.373847512269246,1,508,6,0
64.42,2.0,1493,0,14.554713649150907,1,3356,10,0
38.09,5.0,1186,0,4.468264235405244,1,2430,23,0
228.67,1.0,1221,0,5.6181851783404175,1,1433,25,0
28.76,4.0,1145,0,3.1212139879668985,1,3128,25,0
130.56,5.0,1383,0,10.940676399926076,1,3036,25,0
52.38,5.0,1058,0,0.26283907267089673,1,3328,25,0
137.99,5.0,1322,0,8.936528470810488,1,429,10,0
109.79,5.0,1130,0,2.6283907267089672,1,3128,25,0
114.04,4.0,1115,0,2.135567465451036,1,2682,17,0
77.57,1.0,1223,0,5.683894946508142,1,2917,18,0
62.47,5.0,1285,0,7.720897759707592,1,1090,10,0
109.78,5.0,1353,0,9.955029877410214,1,2474,26,0
144.94,4.0,1611,0,18.431589971046634,1,868,25,0
21.77,4.0,1143,0,3.0555042197991744,1,3328,25,0
42.62,5.0,1393,0,11.269225240764698,1,3088,22,0
162.77,4.0,1304,0,8.34514055730097,1,2069,17,0
109.5,5.0,1129,0,2.595535842625105,1,2628,4,0
237.0,4.0,1131,0,2.6612456107928293,1,695,22,0
65.78,2.0,1196,0,4.796813076243866,1,1041,12,0
443.73,3.0,1134,0,2.759810263044416,1,413,10,0
143.73,5.0,1439,0,12.780549908622353,1,3328,25,0
228.79,5.0,1331,0,9.232222427565247,1,1733,15,0
107.81,5.0,1069,0,0.6242427975933798,1,1217,4,0
36.98,5.0,1085,0,1.149920942935173,1,3525,25,0
142.51,5.0,1155,0,3.4497628288055195,1,3477,25,0
178.59,5.0,1190,0,4.599683771740692,1,1638,10,0
137.26,5.0,1453,0,13.240518285796423,1,1051,17,0
63.74,4.0,1054,0,0.13141953633544837,1,3328,25,0
162.79,5.0,1202,0,4.993942380747038,1,508,6,0
433.98,1.0,1233,0,6.012443787346763,1,2917,18,0
259.15,5.0,1078,0,0.9199367543481386,1,3328,25,0
354.37,5.0,1317,171,3.1540688720507606,2,2315,18,0
354.37,5.0,1317,171,3.1540688720507606,2,2315,18,0
354.37,5.0,1317,171,3.1540688720507606,2,2315,18,0
354.37,5.0,1317,171,3.1540688720507606,2,2315,18,0
85.04,4.0,1189,0,4.566828887656831,1,1990,1,0
64.42,5.0,1415,0,11.992032690609664,1,413,10,0
52.38,4.0,1365,0,10.349288486416558,1,3657,10,0
128.95,5.0,1460,0,13.470502474383457,1,3328,25,0
112.33,5.0,1312,0,8.607979629971869,1,3328,25,0
76.18,4.0,1285,0,7.720897759707592,1,1934,25,0
32.77,5.0,1162,0,3.6797470173925544,1,3328,25,0
26.01,3.0,1361,0,10.21786895008111,1,508,6,0
109.04,2.0,1459,0,13.437647590299596,1,2650,25,0
84.01,5.0,1175,0,4.106860510482761,1,1051,17,0
25.9,1.0,1258,0,6.833815889443315,1,296,10,0
97.87,1.0,1281,0,7.589478223372143,1,1990,1,1
97.87,1.0,1281,0,7.589478223372143,1,1990,1,1
39.78,5.0,1116,0,2.168422349534898,1,3328,25,0
109.29,3.0,1307,0,8.443705209552558,1,3173,25,0
127.98,5.0,1434,0,12.616275488203042,1,3328,25,0
1600.51,5.0,1069,0,0.6242427975933798,1,2917,18,0
73.96,5.0,1197,0,4.829667960327727,1,1181,4,0
364.75,5.0,1463,0,13.569067126635044,1,1264,5,0
83.23,5.0,1115,0,2.135567465451036,1,1013,23,0
109.23,5.0,1070,0,0.6570976816772418,1,2393,25,0
32.38,4.0,1217,0,5.486765642004969,1,2278,17,0
175.58,3.0,1110,31,0.9527916384320007,2,3004,4,0
175.58,3.0,1110,31,0.9527916384320007,2,3004,4,0
175.58,3.0,1110,31,0.9527916384320007,2,3004,4,0
175.58,3.0,1110,31,0.9527916384320007,2,3004,4,0
46.69,5.0,1362,0,10.250723834164972,1,571,10,0
49.6,5.0,1279,0,7.523768455204419,1,2609,22,0
187.96,4.0,1251,0,6.60383170085628,1,2907,0,0
63.9,4.0,1219,0,5.552475410172693,1,2917,18,0
236.81,5.0,1269,0,7.195219614365798,1,3328,25,0
204.83,5.0,1279,0,7.523768455204419,1,3328,25,0
31.13,5.0,1076,0,0.8542269861804144,1,681,18,0
154.53,5.0,1059,0,0.29569395675475885,1,3559,16,0
