Tot_sales,Tot_amount,Avg_review,Avg_delivery,Tot_sales_Quartile,Avg_review_Quartile,Tot_amount_Quartile,Avg_delivery_Quartile,SellerScore
4,314.96,4.25,3.5,2,3,2,2,2232
15,2116.0,3.933333333333333,4.333333333333333,3,2,3,1,3321
4,369.8,4.0,2.0,2,2,2,3,2223
85,4837.309999999998,3.9411764705882355,3.3411764705882354,4,2,4,2,4422
4,1572.6999999999998,2.75,1.75,2,1,3,4,2314
9,877.45,4.777777777777778,1.7777777777777777,3,4,3,4,3344
1,789.89,4.0,4.0,1,2,2,2,1222
6,798.0,3.5,3.1666666666666665,2,1,2,2,2212
4,696.0,2.0,10.639075446623677,2,1,2,1,2211
21,2570.0,3.7142857142857144,4.238095238095238,3,2,3,1,3321
58,1125.5599999999997,3.9827586206896552,1.9482758620689655,4,2,3,3,4323
1,29.9,4.0,0.0,1,2,1,4,1124
9,498.61,4.444444444444445,1.8888888888888888,3,3,2,3,3233
23,3829.7699999999977,4.217391304347826,3.391304347826087,3,3,4,2,3432
1,249.99,3.0,3.0,1,1,2,2,1212
3,117.69999999999999,5.0,1.3333333333333333,2,4,1,4,2144
1,17.8,5.0,13.0,1,4,1,1,1141
13,645.1999999999999,4.769230769230769,2.6923076923076925,3,4,2,3,3243
11,4987.0,4.090909090909091,4.454545454545454,3,2,4,1,3421
12,1288.1999999999998,4.166666666666667,1.3333333333333333,3,3,3,4,3334
23,660.7899999999997,3.9565217391304346,1.5217391304347827,3,2,2,4,3224
1,2749.0,1.0,4.0,1,1,3,2,1312
30,1059.3599999999997,4.166666666666667,1.3,4,3,3,4,4334
38,2185.4,3.8157894736842106,2.710526315789474,4,2,3,3,4323
38,3887.0,4.342105263157895,2.473684210526316,4,3,4,3,4433
6,809.0,4.333333333333333,2.5,2,3,2,3,2233
2,244.0,2.5,9.5,1,1,2,1,1211
6,308.96000000000004,4.333333333333333,2.8333333333333335,2,3,2,2,2232
1,89.9,1.0,2.0,1,1,1,3,1113
272,29237.320000000116,4.224264705882353,2.8713235294117645,4,3,4,2,4432
31,2548.5,3.967741935483871,3.4193548387096775,4,2,3,2,4322
3,599.97,3.0,5.666666666666667,2,1,2,1,2211
26,4353.9,4.115384615384615,2.3461538461538463,4,2,4,3,4423
1,144.2,1.0,3.278150893247353,1,1,1,2,1112
1,28.9,1.0,3.278150893247353,1,1,1,2,1112
2,78.35,1.0,5.139075446623677,1,1,1,1,1111
18,1622.740000000001,4.333333333333333,3.4444444444444446,3,3,3,2,3332
8,275.5,4.375,4.25,2,3,2,1,2231
8,1802.0,4.25,1.125,2,3,3,4,2334
2,102.05,5.0,1.5,1,4,1,4,1144
410,25716.44000000013,4.041463414634146,2.0121951219512195,4,2,4,3,4423
4,886.0,4.25,7.75,2,3,3,1,2331
1,73.99,5.0,0.0,1,4,1,4,1144
16,2085.1500000000005,4.3125,0.875,3,3,3,4,3334
64,17481.399999999994,3.6875,3.828125,4,2,4,2,4422
13,1570.0,4.615384615384615,2.3076923076923075,3,4,3,3,3343
2,78.8,5.0,5.0,1,4,1,1,1141
5,1077.5800000000002,3.0,4.4,2,1,3,1,2311
11,1959.0,4.545454545454546,2.0,3,3,3,3,3333
1,41.76,5.0,2.0,1,4,1,3,1143
1,249.9,5.0,3.0,1,4,2,2,1242
2,1188.9,5.0,1.0,1,4,3,4,1344
32,9669.799999999994,3.625,4.5,4,1,4,1,4411
2,358.0,5.0,1.5,1,4,2,4,1244
1,229.9,5.0,8.0,1,4,2,1,1241
36,2881.269999999999,4.583333333333333,1.3888888888888888,4,3,3,4,4334
10,2010.8,4.3,2.1,3,3,3,3,3333
11,1993.99,4.545454545454546,3.090909090909091,3,3,3,2,3332
2,69.8,4.0,1.5,1,2,1,4,1124
19,404.47,4.315789473684211,2.0,3,3,2,3,3233
150,41103.04000000011,4.1866666666666665,3.7,4,3,4,2,4432
3,809.6999999999999,1.0,3.278150893247353,2,1,2,2,2212
130,9824.799999999994,4.015384615384615,1.876923076923077,4,2,4,3,4423
268,56363.24,4.126865671641791,3.004769219750923,4,2,4,2,4422
4,1414.98,3.75,4.5,2,2,3,1,2321
61,48019.0,4.344262295081967,12.311475409836065,4,3,4,1,4431
10,4513.0,4.7,3.9,3,4,4,2,3442
560,33550.61000000028,3.5660714285714286,1.9920648246187405,4,1,4,3,4413
67,2820.3000000000034,4.2388059701492535,1.507462686567164,4,3,3,4,4334
3,359.70000000000005,4.666666666666667,1.3333333333333333,2,4,2,4,2244
12,291.03000000000003,3.5833333333333335,6.25,3,1,2,1,3211
6,1341.45,5.0,3.0,2,4,3,2,2342
5,419.0,3.8,2.8,2,2,2,2,2222
148,8711.529999999997,3.385135135135135,3.490290661249642,4,1,4,2,4412
34,701.5399999999997,4.676470588235294,1.8529411764705883,4,4,2,4,4244
